,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
173,67686,COLTON JOINT UNIFIED,1261.0,19172.0,1485.0,566.0,53.0,54.0,183.0,22774.0,281265000.0,12350.27
174,69948,COLUMBIA ELEMENTARY,7.0,153.0,989.0,40.0,31.0,0.0,143.0,1363.0,13217000.0,9696.99
175,72348,COLUMBIA UNION,10.0,51.0,404.0,10.0,9.0,3.0,44.0,531.0,4187000.0,7885.12
176,71852,COLUMBINE ELEMENTARY,2.0,175.0,12.0,12.0,0.0,0.0,6.0,207.0,1943000.0,9386.47
177,10066,COLUSA COUNTY OFFICE OF EDUCATION,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,11679000.0,2919750.0
178,61598,COLUSA UNIFIED,1.0,1014.0,373.0,18.0,57.0,2.0,14.0,1479.0,13676000.0,9246.79
179,73437,COMPTON UNIFIED,4357.0,18531.0,113.0,27.0,39.0,126.0,259.0,23452.0,303191000.0,12928.15
180,73759,CONEJO VALLEY UNIFIED,273.0,4999.0,10591.0,2076.0,74.0,45.0,860.0,18918.0,119477000.0,6315.52
181,10074,CONTRA COSTA COUNTY OFFICE OF EDUCATION,459.0,1987.0,1546.0,400.0,21.0,30.0,349.0,4792.0,111731000.0,23316.15
182,63891,CORCORAN JOINT UNIFIED,113.0,2991.0,205.0,17.0,4.0,0.0,4.0,3334.0,40340000.0,12099.58
183,71498,CORNING UNION ELEMENTARY,23.0,1384.0,625.0,33.0,37.0,4.0,7.0,2113.0,23721000.0,11226.22
184,71506,CORNING UNION HIGH,6.0,516.0,348.0,8.0,11.0,0.0,53.0,942.0,11487000.0,12194.27
185,67033,CORONA-NORCO UNIFIED,3173.0,28004.0,13794.0,6580.0,187.0,208.0,1059.0,53005.0,531528000.0,10027.88
186,68031,CORONADO UNIFIED,51.0,631.0,2047.0,139.0,13.0,15.0,168.0,3064.0,35927000.0,11725.52
